epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
149,abnormal_to_normal_149.pth,0.17,3,0.000102,0.000102,5.659573,0.120444,0.123473,4.206899,0.000000,0.001292,0.022069,success
150,abnormal_to_normal_150.pth,0.19,3,0.000100,0.000100,15.504751,0.130874,0.152658,13.886676,0.000000,0.004018,0.007217,success
151,abnormal_to_normal_151.pth,0.19,3,0.000098,0.000098,6.278934,0.151918,0.144096,4.466564,0.000000,0.004994,0.018333,success
152,abnormal_to_normal_152.pth,0.17,3,0.000096,0.000096,5.320167,0.111971,0.118477,3.962306,0.000000,0.001199,0.041512,success
153,abnormal_to_normal_153.pth,0.20,3,0.000094,0.000094,5.884746,0.117452,0.126746,4.451943,0.000000,0.004786,0.027213,success
154,abnormal_to_normal_154.pth,0.21,3,0.000092,0.000092,9.797035,0.131023,0.141673,8.201027,0.000000,0.002430,0.036712,success
155,abnormal_to_normal_155.pth,0.17,3,0.000090,0.000090,5.859247,0.112492,0.134337,4.459498,0.000000,0.006153,0.060003,success
156,abnormal_to_normal_156.pth,0.17,3,0.000088,0.000088,8.407471,0.104044,0.130788,7.101079,0.000000,0.004376,0.049078,success
157,abnormal_to_normal_157.pth,0.18,3,0.000086,0.000086,4.797206,0.123656,0.118698,3.321271,0.000000,0.001982,0.061516,success
158,abnormal_to_normal_158.pth,0.17,3,0.000084,0.000084,4.707874,0.136560,0.130675,3.078459,0.000000,0.002467,0.046244,success
159,abnormal_to_normal_159.pth,0.16,3,0.000082,0.000082,4.597343,0.119952,0.132109,3.131116,0.000000,0.002492,0.041034,success
160,abnormal_to_normal_160.pth,0.17,3,0.000080,0.000080,7.626918,0.128797,0.142967,6.038613,0.000000,0.014399,0.003864,success
161,abnormal_to_normal_161.pth,0.16,3,0.000078,0.000078,8.285007,0.143105,0.150379,6.543629,0.000000,0.009567,0.058338,success
162,abnormal_to_normal_162.pth,0.16,3,0.000076,0.000076,6.636760,0.136093,0.134566,5.001298,0.000000,0.005399,0.010971,success
163,abnormal_to_normal_163.pth,0.15,3,0.000074,0.000074,8.982594,0.112768,0.128881,7.595535,0.000000,0.001614,0.034751,success
164,abnormal_to_normal_164.pth,0.16,3,0.000072,0.000072,5.661654,0.101680,0.125823,4.391584,0.000000,0.001621,0.023116,success
165,abnormal_to_normal_165.pth,0.17,3,0.000070,0.000070,5.064960,0.119857,0.137310,3.587505,0.000000,0.004266,0.028706,success
166,abnormal_to_normal_166.pth,0.17,3,0.000068,0.000068,6.586252,0.120913,0.135910,5.103393,0.000000,0.001914,0.012672,success
167,abnormal_to_normal_167.pth,0.16,3,0.000066,0.000066,6.947830,0.154977,0.145754,5.103972,0.000000,0.002583,0.017503,success
168,abnormal_to_normal_168.pth,0.18,3,0.000064,0.000064,7.833617,0.164204,0.154578,5.880038,0.000000,0.002380,0.010907,success
169,abnormal_to_normal_169.pth,0.16,3,0.000062,0.000062,10.137636,0.209664,0.216779,7.597931,0.000000,0.009505,0.001547,success
170,abnormal_to_normal_170.pth,0.16,3,0.000060,0.000060,5.891464,0.116692,0.140641,4.442537,0.000000,0.000726,0.022292,success
171,abnormal_to_normal_171.pth,0.17,3,0.000058,0.000058,5.009923,0.110600,0.128516,3.643642,0.000000,0.003246,0.023522,success
172,abnormal_to_normal_172.pth,0.17,3,0.000056,0.000056,6.436098,0.125344,0.130493,4.912779,0.000000,0.008892,0.010489,success
173,abnormal_to_normal_173.pth,0.17,3,0.000054,0.000054,7.035296,0.134273,0.139513,5.403422,0.000000,0.010122,0.041895,success
174,abnormal_to_normal_174.pth,0.17,3,0.000052,0.000052,6.005349,0.130521,0.139505,4.409214,0.000000,0.011918,0.017855,success
175,abnormal_to_normal_175.pth,0.17,3,0.000050,0.000050,8.510857,0.115962,0.121690,7.104022,0.000000,0.003833,0.001367,success
176,abnormal_to_normal_176.pth,0.21,3,0.000048,0.000048,6.366142,0.117361,0.138374,4.913778,0.000000,0.002011,0.018648,success
177,abnormal_to_normal_177.pth,0.16,3,0.000046,0.000046,6.564802,0.146249,0.177945,4.745026,0.000000,0.001394,0.014937,success
178,abnormal_to_normal_178.pth,0.15,3,0.000044,0.000044,5.667242,0.118569,0.132717,4.205439,0.000000,0.010677,0.061716,success
179,abnormal_to_normal_179.pth,0.18,3,0.000042,0.000042,10.200143,0.126996,0.138977,8.647233,0.000000,0.004999,0.035812,success
180,abnormal_to_normal_180.pth,0.23,3,0.000040,0.000040,10.226234,0.158190,0.153682,8.332292,0.000000,0.004673,0.015942,success
181,abnormal_to_normal_181.pth,0.18,3,0.000038,0.000038,7.445861,0.116643,0.137510,6.001640,0.000000,0.002766,0.007148,success
182,abnormal_to_normal_182.pth,0.17,3,0.000036,0.000036,7.132845,0.131366,0.148784,5.509011,0.000000,0.012607,0.004270,success
183,abnormal_to_normal_183.pth,0.19,3,0.000034,0.000034,3.715101,0.107634,0.123128,2.387974,0.000000,0.004527,0.117282,success
184,abnormal_to_normal_184.pth,0.16,3,0.000032,0.000032,7.228770,0.112013,0.125048,5.854016,0.000000,0.004527,0.175728,success
185,abnormal_to_normal_185.pth,0.18,3,0.000030,0.000030,4.850148,0.132982,0.142293,3.221116,0.000000,0.014628,0.053643,success
